region_id,unit_id,fire_number,discovery_date,discovery_time,first_attack_date,first_attack_time,strategy_met_date,strategy_met_time,fire_out_date,fire_out_time,total_acres,statistical_cause,latitude,longitude
1,111,2011111007,4/13/2011,16:30,4/13/2011,17:15,4/13/2011,17:30,5/14/2011,8:00,1.5,7,47.42384261,-95.74455534
1,111,2011111008,4/13/2011,16:30,4/13/2011,16:40,4/13/2011,16:55,5/14/2011,8:00,0.5,2,47.38358434,-95.63949946
1,111,2011111006,4/13/2011,16:50,4/13/2011,17:00,4/13/2011,17:10,5/14/2011,8:00,0.5,7,47.44930394,-95.7447928
3,312,2011312011,4/13/2011,19:54,4/13/2011,20:02,4/13/2011,20:12,4/13/2011,20:22,0.5,7,45.60686773,-93.89061381
1,142,2011142001,4/14/2011,2:18,4/14/2011,2:35,4/14/2011,3:20,5/23/2011,11:10,0.01,9,46.87996285,-94.51020188
3,351,2011351010,4/14/2011,9:42,4/14/2011,9:50,4/14/2011,9:55,4/15/2011,12:00,0.1,2,45.44083243,-93.3448215
1,111,2011111009,4/14/2011,15:35,4/14/2011,15:50,4/14/2011,16:03,4/16/2011,10:00,0.5,5,47.64413621,-94.75578531
2,234,2011234001,4/14/2011,16:20,4/14/2011,16:38,4/14/2011,16:45,4/14/2011,17:00,0.1,7,47.3916439,-92.74128187
1,161,2011161002,4/14/2011,18:26,4/14/2011,18:36,4/14/2011,19:00,4/14/2011,20:00,1,5,46.63172062,-95.09764308
2,234,2011234002,4/14/2011,18:50,4/14/2011,18:51,4/15/2011,8:00,4/15/2011,8:00,0.1,7,47.4441443,-92.93840299
3,312,2011312009,4/14/2011,19:43,4/14/2011,20:00,4/14/2011,20:45,4/16/2011,10:00,4,5,45.94589324,-94.72884176
3,312,2011312007,4/14/2011,20:10,4/14/2011,20:18,4/14/2011,20:45,4/15/2011,8:00,7.2,2,45.89867838,-93.21249518
1,121,2011121002,4/14/2011,20:41,4/14/2011,20:50,4/14/2011,21:40,5/2/2011,8:00,10,7,48.55597248,-96.50019073
1,161,2011161001,4/14/2011,20:48,4/14/2011,21:14,4/14/2011,21:43,4/15/2011,8:00,11,7,46.98640712,-95.36270379
1,121,2011121003,4/14/2011,23:32,4/14/2011,23:40,4/14/2011,23:56,5/2/2011,8:00,2,7,48.91790373,-96.81782619
1,121,2011121004,4/14/2011,23:56,4/15/2011,0:15,4/15/2011,3:26,5/2/2011,8:00,90,7,48.90706508,-96.80136918
2,234,2011234003,4/15/2011,5:41,4/15/2011,5:47,4/15/2011,6:50,4/25/2011,9:00,0.1,7,47.52211831,-92.61683938
2,244,2011244007,4/15/2011,11:54,4/15/2011,12:30,4/15/2011,12:34,4/16/2011,8:00,0.1,2,45.83718225,-92.8606989
3,312,2011312008,4/15/2011,13:51,4/15/2011,13:58,4/15/2011,14:08,4/18/2011,9:30,0.5,5,45.69030434,-93.88623487
3,351,2011351011,4/15/2011,15:00,4/15/2011,16:02,4/15/2011,17:30,4/20/2011,8:00,11,6,45.20608725,-93.29913828
2,244,2011244008,4/15/2011,16:34,4/15/2011,16:36,4/15/2011,16:36,4/16/2011,8:00,0.1,2,45.96034133,-92.95796748
2,244,2011244009,4/15/2011,16:40,4/15/2011,16:52,4/15/2011,16:58,4/16/2011,8:00,0.1,2,45.95698121,-93.04945007
2,245,2011241001,4/15/2011,17:00,4/15/2011,18:20,4/15/2011,23:30,4/22/2011,12:00,3.75,6,48.34965781,-93.09747599
2,234,2011234004,4/15/2011,20:19,4/15/2011,20:30,4/16/2011,8:00,4/16/2011,8:00,0.1,7,47.38829527,-92.82065115
2,244,2011244010,4/17/2011,12:50,4/17/2011,13:00,4/17/2011,13:25,4/18/2011,8:00,3,5,45.74674544,-92.9789162
2,251,2011251004,4/17/2011,16:20,4/17/2011,16:28,4/17/2011,16:34,4/17/2011,18:00,0.25,5,46.49260627,-92.69152593
2,244,2011244011,4/17/2011,18:24,4/17/2011,18:47,4/17/2011,18:56,4/18/2011,8:00,2.5,5,46.36265606,-92.83229091
1,121,2011121005,4/17/2011,21:10,4/17/2011,21:10,4/17/2011,21:15,4/18/2011,9:00,0.1,5,48.83758018,-95.15362235
2,244,2011244012,4/18/2011,16:43,4/18/2011,16:56,4/18/2011,17:06,4/19/2011,8:00,1,5,46.22508573,-92.85327628
