FIREUNITID,ORGNAME,FIRENAME,FIRETYPE,FIRESUBTYPE,WXSTATIONID,TREATMENTTYPE1,DISCOVERYDATETIME,INITIATIONDATE,STARTDATE,LATITUDE,LONGITUDE,ASPECT,LAYOFLAND,SLOPE,TOTALPRESCRIBEDACRES,TOTALACRES
MNWWR,WINDOM WETLAND MANAGEMENT DISTRICT,WOLF LAKE E (WUI),Treatment,Fires Ignited on FWS Lands by FWS,Sioux Falls SD,Prescribed Fire,5/16/2011,5/16/2011,5/16/2011,43.85638083,-95.08324366,Flat,Flat,0-25,77,77
MNWWR,WINDOM WETLAND MANAGEMENT DISTRICT,HALLS LAKE N,Treatment,Fires Ignited on FWS Lands by FWS,Twin Cities MN,Prescribed Fire,5/17/2011,5/17/2011,5/17/2011,43.70952486,-93.51148493,Flat,Flat,0-25,235,235
MNWWR,WINDOM WETLAND MANAGEMENT DISTRICT,DES MOINES RIVER S,Treatment,Fires Ignited on FWS Lands by FWS,Sioux Falls SD,Prescribed Fire,6/1/2011,6/1/2011,6/1/2011,43.9312457,-95.24330293,Flat,Flat,0-25,228,228
MNLFR,LITCHFIELD WETLAND MANAGEMENT DISTRICT,PHARE LAKE B,Treatment,Fires Ignited on FWS Lands by FWS,214001,Prescribed Fire,4/12/2011,4/12/2011,4/12/2011,44.81972222,-94.58,Flat,Flat,0-25,122,122
MNDLR,DETROIT LAKES WETLAND MANAGEMENT DISTRICT,JACOBSON BECKER COUNTY,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,4/13/2011,4/1/2011,4/13/2011,46.85,-95.956,Flat,Flat,0-25,260,260
MNWWR,WINDOM WETLAND MANAGEMENT DISTRICT,LITTLE SIOUX,Treatment,Fires Ignited on FWS Lands by FWS,Sioux Falls SD,Prescribed Fire,4/25/2011,4/25/2011,4/25/2011,43.5193253,-95.2009366,Flat,Flat,0-25,180,180
MNSBR,SHERBURNE NATIONAL WILDLIFE REFUGE,EDSON PILES,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,1/31/2011,1/31/2011,1/31/2011,45.49694444,-93.66277778,Flat,Flat,0-25,39,39
MNBGR,BIG STONE NATIONAL WILDLIFE REFUGE,MUELLER,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,4/28/2011,4/28/2011,4/28/2011,45.22408,-96.37244,Flat,Flat,0-25,44,44
MNBGR,BIG STONE NATIONAL WILDLIFE REFUGE,MUELLER,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,4/28/2011,4/28/2011,4/28/2011,45.22408,-96.37244,Flat,Flat,0-25,44,44
MNBGR,BIG STONE NATIONAL WILDLIFE REFUGE,YELLOW MEDCINE,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,5/7/2011,5/7/2011,5/7/2011,44.43177,-96.05434,Flat,Flat,0-25,161,161
MNBGR,BIG STONE NATIONAL WILDLIFE REFUGE,YELLOW MEDCINE,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,5/7/2011,5/7/2011,5/7/2011,44.43177,-96.05434,Flat,Flat,0-25,161,161
MNBGR,BIG STONE NATIONAL WILDLIFE REFUGE,KAERCHER BLACKLINE,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,5/16/2011,5/16/2011,5/16/2011,45.24134,-96.34464,Flat,Flat,0-25,1,1
MNBGR,BIG STONE NATIONAL WILDLIFE REFUGE,KAERCHER BLACKLINE,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,5/16/2011,5/16/2011,5/16/2011,45.24134,-96.34464,Flat,Flat,0-25,1,1
MNLFR,LITCHFIELD WETLAND MANAGEMENT DISTRICT,CLEAR LAKE B,Treatment,Fires Ignited on FWS Lands by FWS,214001,Prescribed Fire,5/24/2011,5/24/2011,5/24/2011,45.29305556,-94.44805556,Flat,Flat,0-25,61,61
MNTMR,TAMARAC NATIONAL WILDLIFE REFUGE,HEADQUARTERS,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,8/25/2011,8/25/2011,8/25/2011,46.95,-95.69,Flat,Flat,0-25,7,7
MNLFR,LITCHFIELD WETLAND MANAGEMENT DISTRICT,CASEY LAKE B,Treatment,Fires Ignited on FWS Lands by FWS,214001,Prescribed Fire,5/10/2011,5/10/2011,5/10/2011,45.08361111,-94.47444444,Flat,Flat,0-25,183,183
MNLFR,LITCHFIELD WETLAND MANAGEMENT DISTRICT,CARLSON LAKE E,Treatment,Fires Ignited on FWS Lands by FWS,214001,Prescribed Fire,4/25/2011,4/25/2011,4/25/2011,45.22222222,-94.95361111,Flat,Flat,0-25,58,58
MNLFR,LITCHFIELD WETLAND MANAGEMENT DISTRICT,CREAM CITY A,Treatment,Fires Ignited on FWS Lands by FWS,214001,Prescribed Fire,5/17/2011,5/17/2011,5/17/2011,44.85166667,-94.78833333,Flat,Flat,0-25,161,161
MNDLR,DETROIT LAKES WETLAND MANAGEMENT DISTRICT,BAKER 2011,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,5/10/2011,5/10/2011,5/10/2011,46.904,-95.978,Flat,Flat,0-25,3,3
MNFFR,FERGUS FALLS WETLAND MANAGEMENT DISTRICT,NORDBY,Treatment,Fires Ignited on FWS Lands by FWS,8376650a,Prescribed Fire,5/11/2011,5/11/2011,5/11/2011,45.916,-96.035361,Flat,Flat,0-25,120,120
MNDLR,DETROIT LAKES WETLAND MANAGEMENT DISTRICT,LEPIER 2011,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,5/26/2011,5/26/2011,5/26/2011,46.57,-95.79,Flat,Flat,0-25,238,238
MNFFR,FERGUS FALLS WETLAND MANAGEMENT DISTRICT,ERHARDS GROVE SOUTH,Treatment,Fires Ignited on FWS Lands by FWS,8376650a,Prescribed Fire,5/16/2011,5/16/2011,5/16/2011,46.475597,-96.105219,Flat,Flat,0-25,97,97
MNFFR,FERGUS FALLS WETLAND MANAGEMENT DISTRICT,AGASSIZ NE,Treatment,Fires Ignited on FWS Lands by FWS,8376650a,Prescribed Fire,5/18/2011,5/18/2011,5/18/2011,46.290197,-96.239497,Flat,Flat,0-25,300,300
MNFFR,FERGUS FALLS WETLAND MANAGEMENT DISTRICT,GREWE,Treatment,Fires Ignited on FWS Lands by FWS,8376650a,Prescribed Fire,5/26/2011,5/26/2011,5/26/2011,46.241664,-95.733111,Flat,Flat,0-25,172,172
MNBGR,BIG STONE NATIONAL WILDLIFE REFUGE,LEE ISLE,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,4/13/2011,4/13/2011,4/13/2011,45.24249,-96.38699,Flat,Flat,0-25,16,16
MNBGR,BIG STONE NATIONAL WILDLIFE REFUGE,LEE ISLE,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,4/13/2011,4/13/2011,4/13/2011,45.24249,-96.38699,Flat,Flat,0-25,16,16
MNAGR,AGASSIZ NATIONAL WILDLIFE REFUGE,SILO N1,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,8/23/2011,8/23/2011,8/23/2011,48.282678,-96.04645,Flat,Flat,0-25,200,200
MNAGR,AGASSIZ NATIONAL WILDLIFE REFUGE,SILO N2,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,8/25/2011,8/25/2011,8/25/2011,48.282678,-96.04645,Flat,Flat,0-25,250,250
MNAGR,AGASSIZ NATIONAL WILDLIFE REFUGE,SLASH PILES RX2,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,4/19/2011,4/19/2011,4/19/2011,48.294757,-95.858148,Flat,Flat,0-25,22,22
MNAGR,AGASSIZ NATIONAL WILDLIFE REFUGE,GOLDEN VALLEY UNIT 25,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,8/10/2011,8/10/2011,8/10/2011,48.33,-95.91,South,Flat,0-25,247,247
MNMVR,MINNESOTA VALLEY NATIONAL WILDLIFE REFUGE,LV ISLANDS,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,4/12/2011,4/12/2011,4/12/2011,44.72722222,-93.60222222,Flat,Flat,0-25,90,90
MNFFR,FERGUS FALLS WETLAND MANAGEMENT DISTRICT,FRIKKEN,Treatment,Fires Ignited on FWS Lands by FWS,8376650a,Prescribed Fire,5/17/2011,5/17/2011,5/17/2011,46.102181,-95.951289,Flat,Flat,0-25,100,100
MNFFR,FERGUS FALLS WETLAND MANAGEMENT DISTRICT,ELBOW LAKE,Treatment,Fires Ignited on FWS Lands by FWS,8376650a,Prescribed Fire,5/17/2011,5/17/2011,5/17/2011,46.979786,-95.978464,Flat,Flat,0-25,60,60
MNTMR,TAMARAC NATIONAL WILDLIFE REFUGE,COUNTY RD 26 2011,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,5/3/2011,5/3/2011,5/3/2011,46.96,-95.69,Flat,Flat,0-25,1,1
MNCMR,CRANE MEADOWS NATIONAL WILDLIFE REFUGE,UNIT 1 OAK SAVANNA,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,4/12/2011,4/12/2011,4/12/2011,45.93805556,-94.25333333,Flat,Flat,0-25,35,35
MNSBR,SHERBURNE NATIONAL WILDLIFE REFUGE,37-38-39A BLACKLING,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,4/25/2011,4/25/2011,4/25/2011,45.46472222,-93.65361111,Flat,Flat,0-25,7,7
MNDLR,DETROIT LAKES WETLAND MANAGEMENT DISTRICT,HOLTE,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,4/14/2011,4/1/2011,4/14/2011,46.991,-96.368,Flat,Flat,0-25,14,14
MNWWR,WINDOM WETLAND MANAGEMENT DISTRICT,KIESTER,Treatment,Fires Ignited on FWS Lands by FWS,Twin Cities MN,Prescribed Fire,4/12/2011,4/12/2011,4/12/2011,43.5037113,-93.6849327,Flat,Flat,0-25,111,111
