FID,AREA,PERIMETER,FIRE_,FIRE_ID,LAT,LONG,DATE,JULIAN,GMT,BT4TEMP,BT5TEMP,SRC,SAT_SRC,CONF
116240,0,0,116241,547991,44.7648582,-93.0414963,8/5/2015 0:00:00,217,720,303.7999878,290.3999939,rsac,S-NPP,Nominal
116241,0,0,116242,245028,44.7648582,-93.0406036,6/19/2015 0:00:00,170,842,295.2000122,278.3999939,rsac,S-NPP,Nominal
116243,0,0,116244,263011,44.7648315,-93.0429001,6/23/2015 0:00:00,174,727,300.2000122,288.6000061,rsac,S-NPP,Nominal
116244,0,0,116245,668373,44.7648087,-93.0431976,8/26/2015 0:00:00,238,906,296.1000061,285.1000061,rsac,S-NPP,Nominal
116247,0,0,116248,562630,44.7647591,-93.0411987,8/10/2015 0:00:00,222,907,299.7000122,287,rsac,S-NPP,Nominal
116248,0,0,116249,193661,44.7647285,-93.038002,5/22/2015 0:00:00,142,907,298.7000122,285.2000122,rsac,S-NPP,Nominal
116253,0,0,116254,461373,44.7645912,-93.0410004,7/9/2015 0:00:00,190,727,300.8999939,286.3999939,rsac,S-NPP,Nominal
116254,0,0,116255,652052,44.7645912,-93.039299,8/24/2015 0:00:00,236,804,297.7000122,286.6000061,rsac,S-NPP,Nominal
116259,0,0,116260,387207,44.7644882,-93.0410995,7/3/2015 0:00:00,184,739,299.1000061,288.3999939,rsac,S-NPP,Nominal
116260,0,0,116261,687162,44.7644806,-93.0437012,8/27/2015 0:00:00,239,707,298.6000061,285.2000122,rsac,S-NPP,Nominal
116261,0,0,116262,564514,44.7644691,-93.0416031,8/10/2015 0:00:00,222,726,302.8999939,287.8999939,rsac,S-NPP,Nominal
116262,0,0,116263,711055,44.7644615,-93.0418015,9/9/2015 0:00:00,252,803,296.2999878,286.2999878,rsac,S-NPP,Nominal
116265,0,0,116266,545253,44.7644005,-93.0425034,8/5/2015 0:00:00,217,720,303.5,289.7999878,rsac,S-NPP,Nominal
116266,0,0,116267,716232,44.764389,-93.0409012,9/11/2015 0:00:00,254,726,296.8999939,284.2999878,rsac,S-NPP,Nominal
116269,0,0,116270,562584,44.7642593,-93.0401993,8/10/2015 0:00:00,222,907,301.5,287.7000122,rsac,S-NPP,Nominal
116277,0,0,116278,225738,44.7641602,-93.039299,6/6/2015 0:00:00,157,926,296.7999878,284.2000122,rsac,S-NPP,Nominal
116278,0,0,116279,589677,44.7640686,-93.0385971,8/15/2015 0:00:00,227,913,300.5,286.7000122,rsac,S-NPP,Nominal
116291,0,0,116292,541630,44.7639008,-93.0403976,8/4/2015 0:00:00,216,739,300.5,290.3999939,rsac,S-NPP,Nominal
116294,0,0,116295,379659,44.7638512,-93.0411987,7/3/2015 0:00:00,184,739,298,287.7999878,rsac,S-NPP,Nominal
116297,0,0,116298,777152,44.76371,-93.9898987,11/3/2015 0:00:00,307,1856,331.7000122,291.5,rsac,S-NPP,Nominal
116300,0,0,116301,668942,44.7636604,-93.0390015,8/26/2015 0:00:00,238,906,301.2999878,287.3999939,rsac,S-NPP,Nominal
116316,0,0,116317,265105,44.763031,-93.0401001,6/23/2015 0:00:00,174,907,301.2000122,289.1000061,rsac,S-NPP,Nominal
116318,0,0,116319,193125,44.7630005,-93.0401001,5/22/2015 0:00:00,142,727,298,285.2000122,rsac,S-NPP,Nominal
116320,0,0,116321,374713,44.7629585,-93.0406036,7/2/2015 0:00:00,183,758,298.1000061,287.6000061,rsac,S-NPP,Nominal
116322,0,0,116323,646478,44.7628593,-93.0382004,8/23/2015 0:00:00,235,823,296.3999939,285.8999939,rsac,S-NPP,Nominal
116335,0,0,116336,518439,44.7624512,-93.0411987,7/27/2015 0:00:00,208,829,300,286.3999939,rsac,S-NPP,Nominal
116336,0,0,116337,441529,44.7624397,-93.0384979,7/7/2015 0:00:00,188,804,297.5,287.1000061,rsac,S-NPP,Nominal
116337,0,0,116338,253312,44.7623787,-93.0406036,6/21/2015 0:00:00,172,805,302.7999878,291.6000061,rsac,S-NPP,Nominal
116338,0,0,116339,516654,44.7623711,-93.0406036,7/25/2015 0:00:00,206,907,302.7999878,292.7000122,rsac,S-NPP,Nominal
116349,0,0,116350,268953,44.7620201,-93.0406036,6/24/2015 0:00:00,175,848,300.6000061,290,rsac,S-NPP,Nominal
116352,0,0,116353,571924,44.7619514,-93.0384979,8/12/2015 0:00:00,224,829,300.8999939,290.7999878,rsac,S-NPP,Nominal
116354,0,0,116355,692922,44.7619095,-93.0394974,8/29/2015 0:00:00,241,810,299.2000122,287.2999878,rsac,S-NPP,Nominal
116362,0,0,116363,534549,44.7616692,-93.0382996,8/2/2015 0:00:00,214,817,304,293.3999939,rsac,S-NPP,Nominal
116374,0,0,116375,650380,44.7611618,-93.0401993,8/24/2015 0:00:00,236,804,295.3999939,285.2999878,rsac,S-NPP,Nominal
116486,0,0,116487,141094,44.7569008,-93.9031982,4/26/2015 0:00:00,116,1840,340.3999939,301.7000122,rsac,S-NPP,Nominal
116540,0,0,116541,146445,44.7551804,-96.3161011,4/26/2015 0:00:00,116,2021,341.2999878,300.8999939,rsac,S-NPP,Nominal
116657,0,0,116658,789590,44.7470703,-96.2238007,11/13/2015 0:00:00,317,1909,334.5,286.7000122,rsac,S-NPP,Nominal
116658,0,0,116659,147536,44.7470703,-94.593399,4/27/2015 0:00:00,117,2001,332.7999878,307.2000122,rsac,S-NPP,Low
116667,0,0,116668,135895,44.7447014,-93.4844971,4/23/2015 0:00:00,113,1936,332.5,295.2000122,rsac,S-NPP,Nominal
116672,0,0,116673,722551,44.7436485,-95.9745026,9/14/2015 0:00:00,257,1935,331.8999939,300.3999939,rsac,S-NPP,Nominal
116675,0,0,116676,148857,44.7429619,-94.5920029,4/27/2015 0:00:00,117,2001,339,304.5,rsac,S-NPP,Nominal
116694,0,0,116695,152105,44.7388,-94.7757034,4/29/2015 0:00:00,119,1924,334,308.2000122,rsac,S-NPP,Low
116722,0,0,116723,63956,44.7330399,-94.3845978,3/17/2015 0:00:00,76,1931,331.2000122,290.8999939,rsac,S-NPP,Nominal
116759,0,0,116760,767177,44.7271881,-94.3947983,10/22/2015 0:00:00,295,1922,328.1000061,301,rsac,S-NPP,Nominal
116765,0,0,116766,765826,44.7265091,-94.4000015,10/22/2015 0:00:00,295,1922,346.3999939,298.3999939,rsac,S-NPP,Nominal
116776,0,0,116777,59822,44.7238998,-94.1938019,3/14/2015 0:00:00,73,1847,325.8999939,290.2999878,rsac,S-NPP,Nominal
116778,0,0,116779,765654,44.7237816,-94.393898,10/22/2015 0:00:00,295,1922,342.7999878,296.1000061,rsac,S-NPP,Nominal
116779,0,0,116780,95336,44.7237701,-95.8953018,4/3/2015 0:00:00,93,1912,325.7999878,288,rsac,S-NPP,Nominal
116782,0,0,116783,765377,44.7231102,-94.3991013,10/22/2015 0:00:00,295,1922,328.2000122,293.8999939,rsac,S-NPP,Nominal
116792,0,0,116793,508937,44.7209091,-95.8927002,7/20/2015 0:00:00,201,1845,325,293.7999878,rsac,S-NPP,Nominal
116816,0,0,116817,96832,44.7163391,-93.0073013,4/4/2015 0:00:00,94,1853,344.7999878,290.5,rsac,S-NPP,Nominal
116834,0,0,116835,735758,44.7126999,-94.5423965,10/6/2015 0:00:00,279,1922,336.2999878,291.2000122,rsac,S-NPP,Nominal
116849,0,0,116850,136523,44.7095108,-94.6109009,4/23/2015 0:00:00,113,1936,344.7999878,306.3999939,rsac,S-NPP,Nominal
116861,0,0,116862,777537,44.7065887,-95.2497025,11/3/2015 0:00:00,307,1856,330.7000122,293.1000061,rsac,S-NPP,Nominal
116895,0,0,116896,64118,44.6991806,-95.3867035,3/17/2015 0:00:00,76,1931,331.1000061,283.3999939,rsac,S-NPP,Nominal
116896,0,0,116897,766360,44.6989098,-94.6645966,10/22/2015 0:00:00,295,1922,330.2999878,294.7999878,rsac,S-NPP,Nominal
116915,0,0,116916,796729,44.6940002,-95.3667984,11/24/2015 0:00:00,328,1903,326.7000122,278,rsac,S-NPP,Nominal
116918,0,0,116919,795726,44.6930199,-95.3635025,11/23/2015 0:00:00,327,1921,331.2999878,274.3999939,rsac,S-NPP,Nominal
116923,0,0,116924,136874,44.6920204,-93.0802994,4/23/2015 0:00:00,113,1756,367,292.7999878,rsac,S-NPP,Nominal
116937,0,0,116938,190786,44.6893501,-93.2331009,5/21/2015 0:00:00,141,1911,335.6000061,302.3999939,rsac,S-NPP,Nominal
116955,0,0,116956,44898,44.6850891,-95.3640976,3/1/2015 0:00:00,60,1931,325.7000122,265.7999878,rsac,S-NPP,Nominal
116956,0,0,116957,141020,44.6850014,-96.2937012,4/26/2015 0:00:00,116,1840,334.6000061,295.7000122,rsac,S-NPP,Nominal
116971,0,0,116972,706885,44.6818199,-95.623703,9/6/2015 0:00:00,249,1845,331.6000061,292.1000061,rsac,S-NPP,Nominal
116973,0,0,116974,109724,44.6815796,-94.2449036,4/11/2015 0:00:00,101,1822,367,305.6000061,rsac,S-NPP,Nominal
116980,0,0,116981,109605,44.6803703,-94.2492981,4/11/2015 0:00:00,101,1822,352.2999878,293.2999878,rsac,S-NPP,Nominal
117034,0,0,117035,765241,44.6707497,-95.4667969,10/22/2015 0:00:00,295,1922,342.7000122,295.7999878,rsac,S-NPP,Nominal
117035,0,0,117036,121928,44.6707191,-95.0780029,4/17/2015 0:00:00,107,1949,344.2999878,304.1000061,rsac,S-NPP,Nominal
117041,0,0,117042,122401,44.6685486,-95.0779037,4/17/2015 0:00:00,107,1809,344.6000061,299.5,rsac,S-NPP,Nominal
117044,0,0,117045,767218,44.6674194,-95.4658966,10/22/2015 0:00:00,295,1922,335.1000061,296.7000122,rsac,S-NPP,Nominal
117049,0,0,117050,136830,44.6644897,-94.8560028,4/23/2015 0:00:00,113,1936,338.2999878,302.2000122,rsac,S-NPP,Nominal
117060,0,0,117061,217419,44.6612091,-95.0774994,6/1/2015 0:00:00,152,1905,336,304.1000061,rsac,S-NPP,Nominal
117064,0,0,117065,539953,44.6608391,-94.6156006,8/3/2015 0:00:00,215,1923,328.7000122,297.3999939,rsac,S-NPP,Nominal
117066,0,0,117067,217250,44.6603012,-95.0826035,6/1/2015 0:00:00,152,1905,335.7999878,302.7000122,rsac,S-NPP,Nominal
117081,0,0,117082,546025,44.6572304,-94.6139984,8/5/2015 0:00:00,217,1845,333,295.5,rsac,S-NPP,Nominal
117113,0,0,117114,120289,44.6525993,-95.7918015,4/16/2015 0:00:00,106,1828,346.3999939,302.2999878,rsac,S-NPP,Nominal
117134,0,0,117135,118258,44.6486702,-95.7901001,4/16/2015 0:00:00,106,1828,349.2999878,299.6000061,rsac,S-NPP,Nominal
117252,0,0,117253,168365,44.6347504,-95.9452972,5/8/2015 0:00:00,128,1955,348.7000122,296.7999878,rsac,S-NPP,Nominal
117351,0,0,117352,168335,44.630291,-95.9447021,5/8/2015 0:00:00,128,1955,346.5,295.1000061,rsac,S-NPP,Nominal
117528,0,0,117529,24084,44.6230888,-93.8022995,2/9/2015 0:00:00,40,1906,326.2999878,273.2000122,rsac,S-NPP,Nominal
118536,0,0,118537,652646,44.5928192,-96.115097,8/24/2015 0:00:00,236,1929,328.8999939,295.1000061,rsac,S-NPP,Nominal
118988,0,0,118989,109163,44.5824318,-94.6182022,4/11/2015 0:00:00,101,1822,338.6000061,292.7000122,rsac,S-NPP,Nominal
119496,0,0,119497,136095,44.5674515,-93.223999,4/23/2015 0:00:00,113,1936,352.3999939,309.6000061,rsac,S-NPP,Nominal
119503,0,0,119504,110411,44.5671387,-92.8315964,4/11/2015 0:00:00,101,2002,367,294.1000061,rsac,S-NPP,Nominal
119876,0,0,119877,158719,44.5489883,-95.0042038,5/2/2015 0:00:00,122,2008,336,304.7000122,rsac,S-NPP,Nominal
119891,0,0,119892,526022,44.5481186,-94.6277008,7/31/2015 0:00:00,212,1839,325.2000122,295.1000061,rsac,S-NPP,Nominal
120025,0,0,120026,113458,44.5392189,-92.3992004,4/14/2015 0:00:00,104,1905,343.2000122,299,rsac,S-NPP,Nominal
120030,0,0,120031,113902,44.5384789,-92.4039993,4/14/2015 0:00:00,104,1905,345.7999878,300.2999878,rsac,S-NPP,Nominal
120032,0,0,120033,658676,44.5381889,-96.1937027,8/25/2015 0:00:00,237,1910,327.2999878,294.3999939,rsac,S-NPP,Nominal
120035,0,0,120036,114153,44.5377388,-92.4087982,4/14/2015 0:00:00,104,1905,334.2999878,298.8999939,rsac,S-NPP,Nominal
120052,0,0,120053,114706,44.5359497,-92.398201,4/14/2015 0:00:00,104,1905,354.7999878,305.7000122,rsac,S-NPP,Nominal
120058,0,0,120059,113456,44.5351982,-92.4029999,4/14/2015 0:00:00,104,1905,348.5,298.8999939,rsac,S-NPP,Nominal
120059,0,0,120060,144180,44.5350304,-96.3434982,4/26/2015 0:00:00,116,2020,367,314.1000061,rsac,S-NPP,Nominal
120065,0,0,120066,113729,44.5344696,-92.4077988,4/14/2015 0:00:00,104,1905,329.6000061,296.3999939,rsac,S-NPP,Nominal
120116,0,0,120117,98921,44.5292702,-96.2990036,4/4/2015 0:00:00,94,1853,332.1000061,299.2000122,rsac,S-NPP,Nominal
120124,0,0,120125,121966,44.5287819,-94.6897964,4/17/2015 0:00:00,107,1949,351.3999939,295.1000061,rsac,S-NPP,Nominal
120195,0,0,120196,121706,44.5243912,-94.6891022,4/17/2015 0:00:00,107,1949,355.6000061,300.5,rsac,S-NPP,Nominal
120237,0,0,120238,149138,44.5227699,-94.9597015,4/27/2015 0:00:00,117,2001,348.5,307.6000061,rsac,S-NPP,Nominal
120242,0,0,120243,148957,44.5225296,-94.9637985,4/27/2015 0:00:00,117,2001,367,304.7999878,rsac,S-NPP,Nominal
120243,0,0,120244,122388,44.5224495,-95.1999969,4/17/2015 0:00:00,107,1949,345,301.8999939,rsac,S-NPP,Nominal
120257,0,0,120258,147595,44.5208092,-94.9610977,4/27/2015 0:00:00,117,2001,367,309.6000061,rsac,S-NPP,Nominal
120259,0,0,120260,147292,44.5205994,-94.9652023,4/27/2015 0:00:00,117,2001,339.8999939,300,rsac,S-NPP,Nominal
120267,0,0,120268,121864,44.5200806,-95.2009964,4/17/2015 0:00:00,107,1949,336.2999878,305.1000061,rsac,S-NPP,Nominal
120291,0,0,120292,121515,44.5181808,-95.1993027,4/17/2015 0:00:00,107,1949,343.8999939,305.2999878,rsac,S-NPP,Nominal
120354,0,0,120355,94501,44.5120201,-92.3142014,4/3/2015 0:00:00,93,1912,329.6000061,279.7000122,rsac,S-NPP,Nominal
120366,0,0,120367,94615,44.5113297,-92.3191986,4/3/2015 0:00:00,93,1912,339.1000061,281.6000061,rsac,S-NPP,Nominal
120374,0,0,120375,95692,44.510231,-94.8668976,4/4/2015 0:00:00,94,1853,331,292.6000061,rsac,S-NPP,Nominal
120391,0,0,120392,135782,44.5092506,-94.9878006,4/23/2015 0:00:00,113,1936,338.2999878,304.7000122,rsac,S-NPP,Nominal
120424,0,0,120425,149346,44.5061684,-92.3258972,4/27/2015 0:00:00,117,2001,336.7999878,294.5,rsac,S-NPP,Nominal
120442,0,0,120443,191423,44.5045319,-96.319603,5/21/2015 0:00:00,141,1911,344.7000122,302.3999939,rsac,S-NPP,Nominal
120492,0,0,120493,121634,44.4999809,-93.7736969,4/17/2015 0:00:00,107,1949,343.8999939,296,rsac,S-NPP,Nominal
120515,0,0,120516,161469,44.4972916,-92.9442978,5/4/2015 0:00:00,124,805,304.7000122,278.8999939,rsac,S-NPP,Nominal
120530,0,0,120531,122127,44.4953918,-93.7731018,4/17/2015 0:00:00,107,1949,335.3999939,296,rsac,S-NPP,Nominal
120545,0,0,120546,351727,44.4940186,-94.0535965,6/30/2015 0:00:00,181,836,303,288.3999939,rsac,S-NPP,Nominal
120588,0,0,120589,52823,44.4909401,-93.4601974,3/10/2015 0:00:00,69,1822,326.7999878,288,rsac,S-NPP,Nominal
120594,0,0,120595,111342,44.4898186,-96.347702,4/12/2015 0:00:00,102,1943,333.5,298.6000061,rsac,S-NPP,Nominal
120599,0,0,120600,111607,44.4891586,-96.3539963,4/12/2015 0:00:00,102,1943,332.2999878,298.7999878,rsac,S-NPP,Nominal
120604,0,0,120605,112607,44.4885597,-94.707901,4/13/2015 0:00:00,103,1924,343.8999939,298.3999939,rsac,S-NPP,Nominal
120645,0,0,120646,790537,44.4846191,-94.8515015,11/14/2015 0:00:00,318,1850,326.6000061,280.8999939,rsac,S-NPP,Nominal
120678,0,0,120679,672197,44.4815598,-94.8467026,8/26/2015 0:00:00,238,1851,326.7000122,293.6000061,rsac,S-NPP,Nominal
120744,0,0,120745,141236,44.4768906,-94.4392014,4/26/2015 0:00:00,116,1840,338.3999939,304.8999939,rsac,S-NPP,Nominal
120768,0,0,120769,206061,44.4743118,-95.7797012,5/27/2015 0:00:00,147,1858,331.6000061,304,rsac,S-NPP,Low
120783,0,0,120784,748741,44.4734192,-96.2559967,10/14/2015 0:00:00,287,1832,347.2000122,290.8999939,rsac,S-NPP,Nominal
120785,0,0,120786,98526,44.4733009,-92.3620987,4/4/2015 0:00:00,94,1853,329.2999878,287.7999878,rsac,S-NPP,Nominal
120809,0,0,120810,736981,44.4711189,-94.8483963,10/7/2015 0:00:00,280,1903,326.8999939,294.7000122,rsac,S-NPP,Nominal
120837,0,0,120838,747079,44.4686508,-96.2535019,10/14/2015 0:00:00,287,1832,329.3999939,293.2000122,rsac,S-NPP,Nominal
